Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
59,1504,-0.37296588718891144,0.4203528307503731,38.212193,48.270096,124.69448,52.295,12.58,0.27,273,117,1057.564,775.43599,1833.0,139.28571,16.02,41.79,15.6,128.72786
46,1487,-0.43173959851264954,0.13286087810493574,36.808823,48.619987,122.23763,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775
54,1498,-0.4684695303440094,0.21959944935178652,37.046085,48.529297,122.62147,47.085,18.3,0.45,215,215,967.96105,795.03895,1763.0,138.21429,15.89,41.46,17.2,128.76964
82,1528,-0.4762972742319107,0.20182889176363786,38.285114,48.180023,124.75025,47.085,18.3,0.45,215,215,967.96105,795.03895,1763.0,153.57143,17.66,46.07,17.2,141.93071
11,1409,-0.5146974325180054,0.7954161970436281,41.63561,47.223896,130.49512,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,176.78571,20.33,53.04,18.0,162.30536
94,1540,-0.5156433582305908,0.7951441329922109,41.636345,47.223053,130.49574,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,176.78571,20.33,53.04,18.0,162.30536
39,1477,-0.5993697941303253,0.3537579041696761,38.26008,48.103806,124.62396,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,135.0,15.53,40.5,16.8,125.775
28,1429,-0.5993978977203369,0.358568413566304,40.21581,47.56083,127.99245,47.085,18.3,0.45,210,210,966.0,810.6,1776.6,165.0,18.98,49.5,16.8,151.485
74,1519,-0.6152228116989136,0.3754337029403767,39.417038,47.771893,126.60597,49.69,15.44,0.36,264,176,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143
10,1408,-0.6259859502315521,0.6731044695344455,40.226597,47.539867,127.99306,52.295,12.58,0.27,315,135,972.0,760.5,1732.5,160.71429,18.48,48.21,18.0,148.53214
65,1510,-0.6272120475769043,0.6728829161076071,40.226757,47.538994,127.99251,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18.0,148.53214
93,1539,-0.6383480429649353,0.6263997873141005,41.586246,47.15404,130.32654,52.295,12.58,0.27,308,132,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857
38,1476,-0.6472301110625267,0.37753811938759285,37.851788,48.184814,123.88839,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036
101,1548,-0.6479951739311218,0.20564759149401118,41.02252,47.304028,129.34906,49.69,15.44,0.36,258,172,967.96105,795.03895,1763.0,168.92857,19.43,50.68,17.2,155.09179
20,1419,-0.6739601641893387,0.21031369896048008,38.094154,48.099464,124.28777,49.69,15.44,0.36,270,180,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893
48,1490,-0.6756094992160797,0.209967065306947,38.095856,48.097878,124.28959,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893
85,1531,-0.6844386695884168,0.48201679945855175,37.411396,48.281933,123.10473,52.295,12.58,0.27,252,108,1090.8446,773.9554,1864.8,141.42857,16.26,42.43,14.4,129.84429
3,1401,-0.6858941863756627,0.4819757694135496,37.41294,48.28052,123.1064,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,141.42857,16.26,42.43,14.4,129.84429
120,1568,-0.7689292430877686,0.6687981933421123,43.337517,46.579605,133.25464,52.295,12.58,0.27,301,129,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286
